id,section,page,amharic,harari,oromo,english,verified
1,ሀ,11,,,ሀ,,False
2,ሀ,11,ሀላፊ,መስኡል,itti gaafatamaa,responsible,False
3,ሀ,11,ሀላፊነት,መስኡኩሊያ,itti gaafatamummaa,responsibility,False
4,ሀ,11,ሀሞት,ሚራር,hadhaawaa,gal,False
5,ሀ,11,ሀሞት,ሚራር,naannoo harari,harari region,False
6,ሀ,11,,,Harari,harari,False
7,ሀ,11,ሀረር,ሀረር,magaalaa harar,harar city,False
8,ሀ,11,ሀረር,ሀረር,Harar,hararr,False
9,ሀ,11,ሀረገ,ሐረግ,Quncee/ Haraga,"Phrase, stiring",False
10,ሀ,11,ሀራጅ,ሐራጅ,Caalbaasii,Auction,False
11,ሀ,11,ሀቪሽ,በንጂ,Hashiisha/banjii,Narcotin / cocain,False
12,ሀ,11,ሀቀና,ሐቀኝኛ,Haqa qabeessa/,Trustfull,False
13,ሀ,11,ሀቅ,ሐቅ,Haqa,Infant,False
14,ሀ,11,ሀተታ,ተርር,hololoo,Narrative,False
15,ሀ,11,ሀኒድ/,ሐኒድ,Haniida/foon,Choked,False
16,ሀ,11,ሀኒድ/,ሐኒድ,bilchaate,,False
17,ሀ,11,ሀኪም,ሐኪም,Haakima,Physician,False
18,ሀ,11,ሀውልት,ተምሳል,Siidaa,Statue,False
19,ሀ,11,ሀዘን,ታእዚያ,mana amuutaa,Mourn,False
20,ሀ,11,ሀዘን,ከፍቲ,Gadda,Sorrow,False
21,ሀ,11,ሀዘን,ሑዝኒ,Gadda,"grief, sorrow",False
22,ሀ,11,ሀዘን,አሙታ,Gaddaa,mourn /sorrow/,False
23,ሀ,11,ሀዘን,ታእዚያ,Gadda,Heel,False
24,ሀ,12,ሀይለኛ,ቀርንዴ,Qorondee/ gosa,Strong to bacco,False
25,ሀ,12,ሀይለኛ,ቀርንዴ,tamboo,,False
26,ሀ,12,ሀይለኛ,ሐይለኛ,Cimaa/human,Intense,False
27,ሀ,12,ሀይለኛ,ሐይለኛ,qabeessa,,False
28,ሀ,12,ሀይለኛ,ዙሩፍ,"Imalmaanaa,jabaa",Strong/forceful,False
29,ሀ,12,ሀይለኛ,ዚሕሚሪራ,Hollannaa cimaa,Acute shivering,False
30,ሀ,12,ሀይል,ታኸ,Humna,Force,False
31,ሀ,12,ሀይል,ቂውዋ,Humna,Energy,False
32,ሀ,12,ሀይማናተኛ,ዲነሻ,Abbaa Amantii,Religious,False
33,ሀ,12,ሀይማናተኛ,ዲነሻ,/Diin/,,False
34,ሀ,12,ሀይማኖታዊ,መዝሐብ,mazaba,Rellgious sects,False
35,ሀ,12,ሀይማናት,ዲን,Amantii,Religion,False
36,ሀ,12,ሀይቅ,ቡሔይራ,haroo,Lake,False
37,ሀ,12,ሀዲድ,ሐዲድ,Hadiida/sibiila,Metal,False
38,ሀ,12,ሀገር,ባድ,biyya,Country,False
39,ሀ,12,ሀጢአተኛ,ደልላሒ,cubbamaa,Sinful,False
40,ሀ,12,ሀጢአተኛ,ደልላሒ,/dilaawaa/,,False
41,ሀ,12,ሀጢአት,ደለሓ,Cubbuu/Dilii hojjate,Sin act,False
42,ሀ,12,ሀጢአት,መድላሕ,Dilii/cubbuu,Sin,False
43,ሀ,12,/ኩነኔ/,መድላሕ,hojjechuu,,False
44,ሀ,12,ሀጢኣት,መኒ,maniyii,Sperm,False
45,ሀ,12,ሀጢያት,ደልደላሒያች,Dilaawwan,sinning/ those who,False
46,ሀ,12,ሀጢያት,ደልደላሒያች,,commit sin,False
47,ሀ,12,ሀጢያት,ደለሕጠቲ,Dilii Daleeyde,sinned/ she,False
48,ሀ,12,ሀጢያት,ዲልሒ,"cubbuu, dilii",sin,False
49,ሀ,12,ሀፍረተ,ፎይ,nafsaalaa,sexual organ,False
50,ሀ,12,ሀፍረት,ቃኝ,saalfii,shame,False
51,ሁ,13,ሁለተና,ኮኦትታኝ,Lammaffaa,secondary,False
52,ሁ,13,ሁለት,ኮኦት,lama,two,False
53,ሁ,13,ሁሉ,ኩልሉ,Hundi,"Whole, all",False
54,ሁ,13,ሁሉም,ቂጥጤ,Hunduu,Whole,False
55,ሁ,13,ሁሉም,ተማምዞም,Hundu,Whole,False
56,ሁ,13,ሁሉም,ጀ፻ጀምሚእ,Hunda,all,False
57,ሁ,13,ሁሌ,ዳኢም,yeroo hundaa,always,False
58,ሁ,13,ሁሌም,ዳቪኢሙም,yeroo hundumaa,usually,False
59,ሁ,13,ሁል,ላበናም,Hoggayyu kan Afaan,yaw ful,False
60,ሁ,13,ሁል,ላበናም,banu,,False
